Ws_avg,Ws_min,Ws_max,Ws_std,Wa_avg,Wa_min,Wa_max,Wa_std,P_avg,Ot_avg,Ot_min,Ot_max,Ot_std
9.9200001,5.9200001,15.04,1.4299999,173.91,138.22,204.25999,10.21,1393.98,5.1700001,5.0999999,5.3000002,0.079999998
9.8999996,6.0799999,14.92,1.59,183.45,143.02,228.39999,10.46,1374.5,5.29,5.0999999,5.3499999,0.029999999
10.6,6.6199999,15.59,1.59,179.47,151.16,208.88,9.6700001,1471.63,4.8800001,4.6999998,5.0,0.050000001
10.66,5.8899999,15.31,1.79,188.44,158.86,219.84,10.11,1519.3199,5.25,5.1999998,5.3000002,0.050000001
10.67,6.4499998,15.8,1.61,300.64999,272.84,332.64999,9.6700001,1559.98,5.5900002,5.5,5.5999999,0.02
9.9899998,6.0999999,14.3,1.84,187.5,156.63,214.41,9.7299995,1379.7,5.3499999,5.25,5.5,0.079999998
10.75,5.8099999,14.48,1.45,180.47,148.47,222.11,9.8199997,1489.67,4.9499998,4.9000001,5.0,0.039999999
10.43,6.6900001,13.94,1.45,299.91,266.09,329.31,10.62,1509.76,5.6599998,5.5,5.8499999,0.090000004
9.8599997,6.2800002,13.68,1.63,175.86,151.11,204.88,9.6099997,1397.16,5.3400002,5.3000002,5.4000001,0.039999999
8.9499998,5.8899999,13.7,1.3200001,301.73001,258.45001,330.10001,11.43,1130.89,5.8899999,5.8000002,5.9000001,0.029999999
9.6800003,5.96,14.62,1.47,189.12,141.63,214.57001,11.37,1260.75,5.5900002,5.5,5.6999998,0.090000004
9.5200005,5.29,12.74,1.39,176.94,119.0,217.37,10.9,1224.29,5.4000001,5.3000002,5.5,0.0099999998
9.75,5.4000001,13.73,1.74,182.7,146.73,210.61,9.9099998,1274.4301,5.0300002,5.0,5.1999998,0.050000001
9.4200001,6.1399999,13.12,1.55,191.28999,155.42,225.34,11.33,1231.7,5.6900001,5.5,5.6999998,0.029999999
9.0200005,5.3099999,12.52,1.41,308.57001,257.67001,342.34,11.23,1114.4399,5.9000001,5.8499999,5.9000001,0.0
